System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.8	0.667	0.727				4	1	2
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.0	0.0	0				0	1	1
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	1.0	0.8	0.889				4	0	1
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.8	0.667	0.727				4	1	2
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.0	0.0	0				0	1	1
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	1.0	0.8	0.889				4	0	1
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.8	0.667	0.727	0.0	0.0	0.0			
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.0	0.0	0.0	0.0	0.0	0.0			
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	1.0	0.8	0.889	0.0	0.0	0.0			
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.8	0.667	0.727	0.0	0.0	0.0			
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.0	0.0	0.0	0.0	0.0	0.0			
l9xxxxxx-tl0234-1b-pdf-flairnergerman_bundle1_hipe2020_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	1.0	0.8	0.889	0.0	0.0	0.0			
